,name,street,city,state,zipcode,phone,website,bbb_url,category,accredited,bbb_rating,accredited_date,years_in_business,one_year_complaints,three_year_complaints,saleability_score
324,Kyles Roofwerx,3501 Massee Ln Apt 45,Columbus,GA,31909-2659,(678) 633-4204,https://www.facebook.com/kyle.chapman.1650,https://www.bbb.org/us/ga/columbus/profile/roofing-contractors/kyles-roofwerx-0743-119574,Roofing Contractors,Accredited,A+,8/1/2020,3.0,0,0,0.89
325,Tom and Jerry's Roofing,251 Highland Village Ln,Woodstock,GA,30188-3563,(770) 374-4423,https://www.tomandjerrysroofing.com/,https://www.bbb.org/us/ga/woodstock/profile/roofing-contractors/tom-and-jerrys-roofing-0443-28173153,Roofing Contractors,Accredited,A+,2/8/2021,5.0,0,0,0.89
326,"Apex Roofing And Remodeling, LLC",433 Simsbury Rdg,Macon,GA,31220-8345,(478) 957-1044,http://www.apexroofingga.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/apex-roofing-and-remodeling-llc-0743-90488,Roofing Contractors,Accredited,A+,9/4/2019,6.0,0,1,0.89
327,Georgia Commercial Roofing Contractors,4897 N Peachtree Rd,Atlanta,GA,30338-5350,(678) 278-9441,http://www.gacommercialroofing.net/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/georgia-commercial-roofing-contractors-0443-28189361,Roofing Contractors,Accredited,A+,5/21/2021,15.0,0,1,0.89
328,"The Roofing HQ, LLC",115 E Main St Ste A1B-10D,Buford,GA,30518-5727,(833) 476-6347,http://www.theroofinghq.com/,https://www.bbb.org/us/ga/buford/profile/roofing-contractors/the-roofing-hq-llc-0443-28171521,Roofing Contractors,Accredited,A+,1/12/2021,4.0,0,0,0.88
329,Your Neighbor's Roofer-Cartersville,1217 Joe Frank Harris Pkwy SE,Cartersville,GA,30120-4204,(678) 203-9566,http://www.yourneighborsroofercartersville.com/,https://www.bbb.org/us/ga/cartersville/profile/roofing-contractors/your-neighbors-roofer-cartersville-0443-27666390,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
330,"FNN Construction, LLC",,Norcross,GA,30071-3303,(770) 316-8049,https://m.facebook.com/people/FNN-Construction-LLC/100088223160138/,https://www.bbb.org/us/ga/norcross/profile/roofing-contractors/fnn-construction-llc-0443-91820043,Roofing Contractors,Accredited,A+,8/8/2023,17.0,0,0,0.88
331,"HG Contracting & Roofing, Inc.",4046 Highway 154 STE 219,Newnan,GA,30265-2330,,http://www.hgroofing.net/,https://www.bbb.org/us/ga/newnan/profile/roofing-contractors/hg-contracting-roofing-inc-0443-11003505,Roofing Contractors,Not Accredited,A+,,17.0,0,0,0.88
332,"Roofing Stinson, LLC",155 Westridge Pkwy,McDonough,GA,30253,(833) 766-3771,http://www.roofingstinson.com/,https://www.bbb.org/us/ga/mcdonough/profile/roofing-contractors/roofing-stinson-llc-0443-91822126,Roofing Contractors,Accredited,A+,5/11/2022,6.0,0,0,0.88
333,Georgia Roof Pro,2150 Appleton Cir,Lawrenceville,GA,30043-2772,(770) 757-9300,http://www.georgiaroofpro.com/,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/georgia-roof-pro-0443-27710923,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
334,"Sol Roofers & Construction, LLC",1022 Indian Trail Lilburn Road,Lilburn,GA,30047,(678) 779-9782,http://www.solroofingandconstruction.com/,https://www.bbb.org/us/ga/lilburn/profile/roofing-contractors/sol-roofers-construction-llc-0443-27620822,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
335,"Arbra Roofing, Inc.",2589 New Haven Dr NE,Atlanta,GA,30345-1105,(678) 467-1612,https://www.facebook.com/arbra.roofing/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/arbra-roofing-inc-0443-28119775,Roofing Contractors,Accredited,A+,10/13/2021,4.0,0,0,0.88
336,"K And R Roofing, LLC",2600 C M Copelan Rd,Madison,GA,30650-2420,(706) 318-3714,http://www.kandrroofing.com/,https://www.bbb.org/us/ga/madison/profile/roofing-contractors/k-and-r-roofing-llc-0443-28168485,Roofing Contractors,Accredited,A+,12/10/2020,4.0,0,0,0.88
337,"Coe's Roofing of Anderson, LLC",118B Charley Dr,Anderson,SC,29625-2099,(864) 260-0080,http://www.coesroofingofanderson.com/,https://www.bbb.org/us/sc/anderson/profile/roofing-contractors/coes-roofing-of-anderson-llc-0673-90009977,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
338,"Dailey Construction, Inc.",1625 Hidden Shoals Dr SE,Conyers,GA,30013-5211,,http://www.rapidroofers.com/,https://www.bbb.org/us/ga/conyers/profile/roofing-contractors/dailey-construction-inc-0443-8235,Roofing Contractors,Not Accredited,A+,,37.0,0,0,0.88
339,"Jaiden C Roofing Repairs, LLC",2924 Walmar Dr,Macon,GA,31206-4967,(478) 283-3326,http://jaiden-c-roofing-repairs.business.site/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/jaiden-c-roofing-repairs-llc-0743-98205,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
340,AM Roofing & Services,19 Caldwell Rd,Lawrenceville,GA,30046-5089,(678) 805-7568,http://www.amroofingservices.com/,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/am-roofing-services-0443-27597244,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
341,"K & M Construction Group, LLC",,Monticello,GA,31064,(678) 677-0000,,https://www.bbb.org/us/ga/monticello/profile/roofing-contractors/k-m-construction-group-llc-0443-27407355,Roofing Contractors,Accredited,A+,1/13/2017,14.0,0,0,0.88
342,"Jack Rabbit Roofing, LLC",90F Glenda Trce # 456,Newnan,GA,30265-3858,(770) 865-2711,http://www.jackrabbitroofing.com/,https://www.bbb.org/us/ga/newnan/profile/roofing-contractors/jack-rabbit-roofing-llc-0443-27659791,Roofing Contractors,Accredited,A+,11/7/2022,8.0,0,0,0.88
343,Above the Truss Roofing,5938 Wesleyan Dr N,Macon,GA,31210-6012,(478) 747-8194,https://www.facebook.com/Above-The-Truss-Roofing-1080639305320803/?hc_ref=SEARCH,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/above-the-truss-roofing-0743-45474,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
344,Up-Top Roof & Home Restorations,PO Box 360306,Decatur,GA,30036-0306,(678) 760-9543,,https://www.bbb.org/us/ga/decatur/profile/roofing-contractors/up-top-roof-home-restorations-0443-27470462,Roofing Contractors,Accredited,A+,3/18/2019,10.0,0,0,0.88
345,Quality Roofing Service,35 McIntosh Estates Dr,Sharpsburg,GA,30277-3008,,http://www.qualityroofingservice.com/,https://www.bbb.org/us/ga/sharpsburg/profile/roofing-contractors/quality-roofing-service-0443-27259503,Roofing Contractors,Not Accredited,A+,,14.0,0,0,0.88
346,"Independent Adjusters Roofing, LLC",250 Perry Ln,Union City,GA,30291-3412,(770) 473-8777,http://www.roofingroofergeorgiaroofinstall.wordpress.com/,https://www.bbb.org/us/ga/union-city/profile/roofing-contractors/independent-adjusters-roofing-llc-0443-27969567,Roofing Contractors,Not Accredited,A+,,8.0,0,0,0.88
347,"Southeast Roofing and Exteriors, LLC",180 Lee Road 2065,Opelika,AL,36804-2107,(334) 721-7575,https://southeastroofingexteriors.com/,https://www.bbb.org/us/al/opelika/profile/roofing-contractors/southeast-roofing-and-exteriors-llc-0743-113508,Roofing Contractors,Accredited,A+,4/13/2022,5.0,0,0,0.87
348,"ER Roofing Specialist, LLC",2986 Buford Hwy,Duluth,GA,30096-5138,(770) 239-1833,http://www.erroofingspecialist.com/,https://www.bbb.org/us/ga/duluth/profile/roofing-contractors/er-roofing-specialist-llc-0443-27757288,Roofing Contractors,Not Accredited,A+,,7.0,0,0,0.87
349,"Invicta Construction, LLC",1992 Hartwell Hwy,Elberton,GA,30635-8406,(470) 210-3181,http://www.invictaconstruction.com/,https://www.bbb.org/us/ga/elberton/profile/roofing-contractors/invicta-construction-llc-0443-28188945,Roofing Contractors,Accredited,A+,5/17/2021,3.0,0,0,0.87
350,Bobby's Roofing & Construction,905 Green St,Warner Robins,GA,31093-2741,(478) 297-1684,https://www.facebook.com/bobbygraham1988/,https://www.bbb.org/us/ga/warner-robins/profile/roofing-contractors/bobbys-roofing-construction-0743-44600,Roofing Contractors,Not Accredited,A+,,7.0,0,0,0.87
351,"Storm Hero Roofing & Restoration, LLC",4396 Lawrenceville Rd Ste 103,Loganville,GA,30052-7339,(770) 380-6809,http://stormheroroofing.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/storm-hero-roofing-restoration-llc-0443-28169211,Roofing Contractors,Accredited,A+,1/19/2021,3.0,0,0,0.87
352,Proaccess Roofing & Restoration,333 Alcovy St STE 6,Monroe,GA,30655-2180,(678) 446-0397,https://www.proaccessroofing.com/,https://www.bbb.org/us/ga/monroe/profile/roofing-contractors/proaccess-roofing-restoration-0443-28172928,Roofing Contractors,Accredited,A+,1/26/2021,3.0,0,0,0.87
353,"RJS Roofing & Construction, LLC","2559 Pharr Ave, Suite D",Dacula,GA,30019,(678) 373-3167,https://rjsroofpros.com/,https://www.bbb.org/us/ga/dacula/profile/roofing-contractors/rjs-roofing-construction-llc-0443-91822372,Roofing Contractors,Accredited,A+,6/1/2022,5.0,0,0,0.87
354,FGA Roofing Inc.,120 Culver St,Lawrenceville,GA,30046-4858,(404) 731-6555,https://firstgaroof.com/,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/fga-roofing-inc-0443-28168344,Roofing Contractors,Accredited,A+,3/29/2021,3.0,0,0,0.87
355,Bellsouth Roofing LLC,460 Canterbury Ln,Lawrenceville,GA,30046-3105,(678) 241-4951,http://www.bellsouthroofing.com/,https://www.bbb.org/us/ga/lawrenceville/profile/roofing-contractors/bellsouth-roofing-llc-0443-28164142,Roofing Contractors,Accredited,A+,6/9/2021,3.0,0,0,0.87
356,"Galian Roofing, LLC",2205 Highway 81,Loganville,GA,30052-4332,(404) 621-1784,http://www.galianroofing.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/galian-roofing-llc-0443-28175706,Roofing Contractors,Accredited,A+,2/18/2021,3.0,0,0,0.87
357,Georgia Paramount Roofing,211 Preston Park Dr,Duluth,GA,30096-8814,(404) 641-9355,https://replacementroof.co/,https://www.bbb.org/us/ga/duluth/profile/roofing-contractors/georgia-paramount-roofing-0443-28195143,Roofing Contractors,Accredited,A+,9/10/2021,3.0,0,0,0.87
358,"Elevation Roofing, LLC",2095 Highway 211 NW STE 2f-223,Braselton,GA,30517-3402,(678) 779-1173,https://www.elevationroofingco.com/,https://www.bbb.org/us/ga/braselton/profile/roofing-contractors/elevation-roofing-llc-0443-28178827,Roofing Contractors,Accredited,A+,3/16/2021,3.0,0,0,0.87
359,"RNR Roofing, LLC",5369 Sherwin Dr,Norcross,GA,30093-4972,(770) 324-9262,http://www.rnrroofingatl.com/,https://www.bbb.org/us/ga/norcross/profile/roofing-contractors/rnr-roofing-llc-0443-28166147,Roofing Contractors,Accredited,A+,1/28/2021,3.0,0,0,0.87
360,"M.I. Roofing, LLC",Address on File with BBB,Jonesboro,GA,30236,(770) 572-1424,https://www.facebook.com/miroofingga/,https://www.bbb.org/us/ga/jonesboro/profile/roofing-contractors/mi-roofing-llc-0443-28127596,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
361,"Frank's Roofing Solutions, LLC",35 Greystone Lane,Cartersville,GA,30121,,http://www.franksroofingsolutions.com/,https://www.bbb.org/us/ga/cartersville/profile/roofing-contractors/franks-roofing-solutions-llc-0443-27690587,Roofing Contractors,Not Accredited,A+,,9.0,0,0,0.86
362,"Roof Pro, LLC",5972 Warpath Rd,Flowery Branch,GA,30542-3153,(678) 258-9065,http://www.roofproselect.com/,https://www.bbb.org/us/ga/flowery-branch/profile/roofing-contractors/roof-pro-llc-0443-28131995,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
363,"Acorn Roofing, LLC",3970 Plantation Mill Dr,Buford,GA,30519-1970,(678) 704-1349,https://www.acornroofs.com/,https://www.bbb.org/us/ga/buford/profile/roofing-contractors/acorn-roofing-llc-0443-28188555,Roofing Contractors,Accredited,A+,6/29/2021,2.0,0,0,0.86
364,Paris Roofing & Gutters,1705 Highway 138 SE # 81203,Conyers,GA,30013-0136,(770) 679-1952,https://www.parisroofingga.com/,https://www.bbb.org/us/ga/conyers/profile/roofing-contractors/paris-roofing-gutters-0443-28163974,Roofing Contractors,Accredited,A+,4/3/2023,6.0,0,0,0.86
365,RoofPro LLC,421 Opelika Rd STE B,Auburn,AL,36830-3981,(334) 707-0383,http://roofpro-llc.com/,https://www.bbb.org/us/al/auburn/profile/roofing-contractors/roofpro-llc-0743-45791,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
366,"Husky Roofing Contractors, Inc",1430 Kelton Dr,Stone Mountain,GA,30083-1916,(770) 858-5669,http://www.huskyroofingcontractors.com/,https://www.bbb.org/us/ga/stone-mountain/profile/roofing-contractors/husky-roofing-contractors-inc-0443-27962044,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
367,"Platinum Roofing Solutions, Inc.",1515 N Ashley St Ste C,Valdosta,GA,31602-3371,(229) 561-3107,http://www.platinumroofpros.com/,https://www.bbb.org/us/ga/valdosta/profile/roofing-contractors/platinum-roofing-solutions-inc-0403-235997773,Roofing Contractors,Accredited,A+,9/14/2020,5.0,0,2,0.86
368,"M & M Roofing Solutions, LLC",1605 Adams Ave,Braselton,GA,30517-4320,(706) 870-6074,http://www.mmroofingsolutions.com/,https://www.bbb.org/us/ga/braselton/profile/roofing-contractors/m-m-roofing-solutions-llc-0443-27834700,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
369,"M & A Roofing & Restoration, LLC",5200 Dallas Hwy STE 200 PMB 284,Powder Springs,GA,30127-6238,(678) 680-8415,http://www.mandaroof.com/,https://www.bbb.org/us/ga/powder-springs/profile/roofing-contractors/m-a-roofing-restoration-llc-0443-27759679,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
370,"Greater Roofing, Inc.",PO Box 31,Sharpsburg,GA,30277-0031,(678) 849-9466,http://www.gogreaterroofing.com/,https://www.bbb.org/us/ga/sharpsburg/profile/roofing-contractors/greater-roofing-inc-0443-27774354,Roofing Contractors,Not Accredited,A+,,6.0,0,0,0.86
371,"Zion Roof Renovations, LLC",1907 Gherry Dr,Austell,GA,30106-2923,(470) 424-8979,,https://www.bbb.org/us/ga/austell/profile/roofing-contractors/zion-roof-renovations-llc-0443-28107633,Roofing Contractors,Accredited,A+,5/28/2019,8.0,0,0,0.86
372,"Cornerstone Roofing and Restoration, LLC",290 White Acres Dr,Stockbridge,GA,30281-2261,(770) 308-9195,https://cornerstoneroofingandrestoration.com/,https://www.bbb.org/us/ga/stockbridge/profile/roofing-contractors/cornerstone-roofing-and-restoration-llc-0443-28195492,Roofing Contractors,Accredited,A,9/16/2021,2.0,0,0,0.85
373,Elder Lee Ferguson's Handyman & Roofing Services,3661 Case St,Macon,GA,31204-2655,(478) 390-0035,,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/elder-lee-fergusons-handyman-roofing-services-0743-4243,Roofing Contractors,Accredited,A+,8/12/2015,35.0,0,1,0.85
374,"Horizon Roofing, LLC",1557 S Broad St,Monroe,GA,30655-2225,(770) 207-0759,http://www.horizonroofs.com/,https://www.bbb.org/us/ga/monroe/profile/roofing-contractors/horizon-roofing-llc-0443-27259041,Roofing Contractors,Accredited,A+,4/17/2009,16.0,1,3,0.85
375,"Goliath Exteriors, Inc.",3050 Battlement Cir,Loganville,GA,30052-8259,(404) 567-1972,https://www.goexteriors.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/goliath-exteriors-inc-0443-27212563,Roofing Contractors,Accredited,A+,3/6/2015,15.0,1,1,0.85
376,Graceful Living Roofing And Construction,25 Pebble Ridge Dr,Covington,GA,30014-8458,(678) 603-6673,http://gracefullivingroofing.com/,https://www.bbb.org/us/ga/covington/profile/roofing-contractors/graceful-living-roofing-and-construction-0443-28199322,Roofing Contractors,Accredited,A+,11/4/2021,3.0,0,0,0.85
377,"ImproveIt! of Atlanta, LLC",4360 Chamblee Dunwoody Rd Ste 500,Atlanta,GA,30341,(770) 609-1197,http://www.improveitatl.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/improveit-of-atlanta-llc-0443-27291287,Roofing Contractors,Accredited,A+,1/15/2010,14.0,1,3,0.85
378,Affordable Home Repairs,100 Hartsfield Center Pkwy,Atlanta,GA,30354,(678) 698-0542,,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/affordable-home-repairs-0443-28054614,Roofing Contractors,Accredited,A+,2/8/2019,7.0,0,0,0.85
379,"Kelley Contractors, LLC",2335 Sandhill Pl SW,Atlanta,GA,30331-8711,(404) 518-4566,https://www.facebook.com/kelleycontractorsllc,https://www.bbb.org/us/ga/atlanta/profile/kitchen-design/kelley-contractors-llc-0443-27435164,Kitchen Design,Accredited,A+,12/21/2012,16.0,0,0,0.85
380,"JR Professional Gutter Cleaning & Roofing Repair, LLC",4355 Cascade Rd SW Apt J6,Atlanta,GA,30331-2029,(404) 441-4237,https://jr-professional-gutter-cleaning-roofing.business.site/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/jr-professional-gutter-cleaning-roofing-repair-llc-0443-28192772,Roofing Contractors,Not Accredited,A+,,5.0,0,0,0.85
381,"KTM Roofing Company, Inc.",5555 Glenridge Connector NE Ste 200,Atlanta,GA,30342-4740,(678) 565-7663,https://www.ktmroofing.com/,https://www.bbb.org/us/ga/atlanta/profile/roofing-contractors/ktm-roofing-company-inc-0443-11002752,Roofing Contractors,Accredited,A+,8/4/2023,39.0,0,2,0.85
382,Simon Roofing,70 Karago Ave,Youngstown,OH,44512-5949,(330) 629-7663,http://www.simonroofing.com/,https://www.bbb.org/us/oh/youngstown/profile/commercial-roofing/simon-roofing-0432-20002706,Commercial Roofing,Accredited,A+,7/1/2014,123.0,0,0,0.85
383,Everett Johnson Roofing Company,318 Croft Mill Rd,Aiken,SC,29801-9026,(803) 641-2365,http://www.everettjohnsonroofing.com/,https://www.bbb.org/us/sc/aiken/profile/roofing-contractors/everett-johnson-roofing-company-0743-14006,Roofing Contractors,Accredited,A+,6/15/2007,34.0,1,1,0.85
384,Claim Group,1650 Oakbrook Dr Ste 415,Norcross,GA,30093-1885,(833) 307-3266,https://30secondroofquote.com/,https://www.bbb.org/us/ga/norcross/profile/roofing-contractors/claim-group-0443-27596184,Roofing Contractors,Accredited,A+,9/25/2015,13.0,2,2,0.85
385,"American Engineer Roofing, LLC",1200 Peaks Lndg,Conyers,GA,30013-5070,(678) 245-1897,https://aercompanyllc.com/,https://www.bbb.org/us/ga/conyers/profile/roofing-contractors/american-engineer-roofing-llc-0443-91830416,Roofing Contractors,Accredited,A+,7/11/2023,5.0,0,0,0.85
386,"Hawk Construction Company, LLC",158 Fairview Rd STE E,Ellenwood,GA,30294-2795,(678) 565-5120,http://www.mhawkconstruction.com/,https://www.bbb.org/us/ga/ellenwood/profile/general-contractor/hawk-construction-company-llc-0443-7002553,General Contractor,Accredited,A+,4/21/2017,20.0,0,0,0.85
387,Gable Masters Roofing,4019 Ocmulgee East Blvd,Macon,GA,31217-5633,(478) 233-1521,http://www.gablemasters.com/,https://www.bbb.org/us/ga/macon/profile/roofing-contractors/gable-masters-roofing-0743-28641,Roofing Contractors,Not Accredited,A+,,19.0,0,1,0.85
388,"Best Choice Roofing Southeast, LLC",5555 Oakbrook Pkwy Ste 170,Norcross,GA,30093-2289,(615) 824-8800,http://www.bestchoiceroofing.com/,https://www.bbb.org/us/ga/raymond/profile/roofing-contractors/best-choice-roofing-southeast-llc-0443-27500032?addressId=213775,Roofing Contractors,Accredited,A+,8/8/2014,14.0,11,27,0.85
389,Olde South Contractors LLC,1222 Thundering Springs Road,East Dublin,GA,31027-2554,(478) 251-2037,http://www.oldesouthcontractors.com/,https://www.bbb.org/us/ga/east-dublin/profile/flat-roofing-contractors/olde-south-contractors-llc-0743-46994,Flat Roofing Contractors,Accredited,A+,7/20/2017,10.0,0,0,0.85
390,"Furman Quality Roofing, LLC",3012 Stone Mountain St,Lithonia,GA,30058-4414,(404) 957-6601,https://www.furmanroofing.net/,https://www.bbb.org/us/ga/lithonia/profile/roofing-contractors/furman-quality-roofing-llc-0443-28126813,Roofing Contractors,Accredited,A+,5/28/2020,4.0,0,1,0.85
391,Danny Renfroe Roofing Co. Inc.,PO Box 8248,Columbus,GA,31908-8248,(706) 568-6626,,https://www.bbb.org/us/ga/columbus/profile/roofing-contractors/danny-renfroe-roofing-co-inc-0743-6000212,Roofing Contractors,Accredited,A+,1/26/1990,33.0,0,1,0.85
392,"Expert Renovation Services, LLC",987 Wesleyan Dr,Macon,GA,31210-2207,(478) 501-0102,http://www.expertrenovationservices.com/,https://www.bbb.org/us/ga/macon/profile/general-contractor/expert-renovation-services-llc-0743-20224,General Contractor,Accredited,A+,7/5/2018,16.0,0,0,0.85
393,"T & J Vinyl Exteriors, Inc.",280 County Line Rd,Jenkinsburg,GA,30234-2311,(770) 775-7433,http://www.tandjextinc.com/,https://www.bbb.org/us/ga/jenkinsburg/profile/siding-contractors/t-j-vinyl-exteriors-inc-0443-13002751,Siding Contractors,Accredited,A+,12/12/2001,31.0,0,0,0.85
394,AAA Georgia Roofing,PO Box 1798,Stockbridge,GA,30281-8798,(770) 389-0746,http://www.aaageorgiaroofing.com/,https://www.bbb.org/us/ga/stockbridge/profile/roofing-contractors/aaa-georgia-roofing-0443-425,Roofing Contractors,Not Accredited,A+,,39.0,0,1,0.85
395,"Donnie Moore Construction Company, LLC",170 Bass Rd NE,Milledgeville,GA,31061-9657,(478) 719-0997,https://dmooreconstruction.com/,https://www.bbb.org/us/ga/milledgeville/profile/gutter-contractor/donnie-moore-construction-company-llc-0743-6002717,Gutter Contractor,Accredited,A+,1/9/2003,35.0,0,0,0.85
396,Bennett Roofing,5975 Center Hill Church Rd,Loganville,GA,30052-3006,(678) 878-9785,http://www.bennettroofing.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/bennett-roofing-0443-27508507,Roofing Contractors,Accredited,A+,9/5/2014,13.0,2,2,0.85
397,Preferred Quality Solutions,36 Macon St,McDonough,GA,30253-3223,(404) 563-2941,http://www.preferredqualitysolutions.com/,https://www.bbb.org/us/ga/mcdonough/profile/roofing-contractors/preferred-quality-solutions-0443-28121846,Roofing Contractors,Accredited,A+,11/20/2019,4.0,0,1,0.85
398,"Atlanta Roofing Specialists, Inc.",1232 Sandtown Rd SW,Marietta,GA,30008,(770) 419-2222,http://www.atlantaroofingspecialists.com/,https://www.bbb.org/us/ga/marietta/profile/roofing-contractors/atlanta-roofing-specialists-inc-0443-594,Roofing Contractors,Accredited,A+,4/1/1998,30.0,1,2,0.85
399,"Southern Expert Roofing Company, LLC",101 Bunch Rd,Jackson,GA,30233-4569,(770) 775-9374,https://southernexteriors.co/,https://www.bbb.org/us/ga/jackson/profile/roofing-contractors/southern-expert-roofing-company-llc-0443-41068,Roofing Contractors,Accredited,A+,4/27/2015,10.0,1,1,0.85
400,"All South Siding, Window & Roofing Co.",514 Georgia Ave,North Augusta,SC,29841-3702,(706) 495-5102,http://www.allsouthsidingandroofing.com/,https://www.bbb.org/us/sc/north-augusta/profile/siding-contractors/all-south-siding-window-roofing-co-0743-12795,Siding Contractors,Accredited,A+,5/20/2008,25.0,0,0,0.85
401,"Bennett Sheet Metal Works, Inc",360 Scenic Way,Sparta,GA,31087-5236,(478) 951-0549,http://www.bennettsheetmetalworks.com/,https://www.bbb.org/us/ga/sparta/profile/sheet-metal-fabrication/bennett-sheet-metal-works-inc-0743-39149,Sheet Metal Fabrication,Accredited,A+,6/25/2014,16.0,0,0,0.85
402,Premier Roofing Company,2570 W 8th Ave,Denver,CO,80204-3704,(303) 233-7663,https://www.premier-roofing.com/,https://www.bbb.org/us/co/denver/profile/roofing-contractors/premier-roofing-company-1296-27001387,Roofing Contractors,Accredited,A+,9/15/2006,18.0,18,39,0.85
403,Hill Top Roofing Inc,2284 Old Concord Rd SE STE D,Smyrna,GA,30082-1541,(770) 432-5169,http://www.hilltoproof.com/,https://www.bbb.org/us/ga/smyrna/profile/remodeling/hill-top-roofing-inc-0443-27253915,Remodeling,Accredited,A+,3/28/2014,15.0,0,0,0.85
404,Marty Robbins Roofing,3050 E Burdeshaw St,Dothan,AL,36303-5316,(334) 794-8120,http://www.martyrobbinsroofing.com/,https://www.bbb.org/us/al/dothan/profile/commercial-roofing/marty-robbins-roofing-0463-15002051,Commercial Roofing,Accredited,A+,2/8/2012,48.0,0,0,0.85
405,Empire Roofing & Restoration,3476 Palmer Dr,Loganville,GA,30052-2409,(770) 703-5140,http://www.myempireroofing.com/,https://www.bbb.org/us/ga/loganville/profile/roofing-contractors/empire-roofing-restoration-0443-27468109,Roofing Contractors,Accredited,A+,4/7/2017,10.0,2,2,0.85
406,"Emergency Roofing Solutions, LLC",2440 Old Milton Pkwy STE 300,Alpharetta,GA,30009-2160,(404) 474-4222,https://emergencyroofingsolutions.com/,https://www.bbb.org/us/ga/alpharetta/profile/roofing-contractors/emergency-roofing-solutions-llc-0443-28187912,Roofing Contractors,Accredited,A,5/18/2021,2.0,0,0,0.85
407,"All Seasons Roofing & Consulting, LLC",7421 Douglas Blvd Ste N428,Douglasville,GA,30135-1564,(404) 948-6500,https://www.allseasonsroofingcompany.com/,https://www.bbb.org/us/ga/douglasville/profile/roofing-contractors/all-seasons-roofing-consulting-llc-0443-28182808,Roofing Contractors,Accredited,A,7/30/2021,2.0,0,0,0.85
408,"Double J Roofing, LLC",Address on File with BBB,Monticello,GA,31064,(706) 765-3012,http://www.doublejroofing.biz/,https://www.bbb.org/us/ga/monticello/profile/roofing-contractors/double-j-roofing-llc-0443-28114806,Roofing Contractors,Not Accredited,A+,,5.0,0,0,0.85
409,"Expert Roofing, Inc.",,Anniston,AL,36207-8610,(256) 591-9067,https://www.facebook.com/people/Expert-Roofing-Inc/100057380952621/,https://www.bbb.org/us/al/anniston/profile/roofing-contractors/expert-roofing-inc-0463-90212403,Roofing Contractors,Accredited,A+,2/12/2021,3.0,0,0,0.85
410,"Southern Classic Remodeling, LLC",3109 Old Snapping Shoals Rd,McDonough,GA,30252-5113,(470) 702-8298,https://www.facebook.com/Southern-Classic-Remodeling-107073888127189/,https://www.bbb.org/us/ga/mcdonough/profile/roofing-contractors/southern-classic-remodeling-llc-0443-28197969,Roofing Contractors,Accredited,A,10/19/2021,2.0,0,0,0.85
411,"Service First Roofing, LLC","541 10th St NW, #470",Atlanta,GA,30318,(678) 787-4754,http://www.servicefirstroofing.com/,https://www.bbb.org/us/ga/atlanta/profile/commercial-roofing/service-first-roofing-llc-0443-27287873,Commercial Roofing,Accredited,A+,10/7/2016,14.0,0,0,0.85
412,B & W Enterprises,1305 Leicster Ct,Hampton,GA,30228-3333,(770) 648-4914,http://www.b-w-roofing.com/,https://www.bbb.org/us/ga/hampton/profile/roofing-contractors/b-w-enterprises-0443-27369703,Roofing Contractors,Not Accredited,A+,,14.0,0,1,0.85
413,"Home Best Roofing, LLC",2192 Goodwood Blvd SE,Smyrna,GA,30080-8203,(404) 556-5568,http://www.homebestroofing.com/,https://www.bbb.org/us/ga/smyrna/profile/roofing-contractors/home-best-roofing-llc-0443-28192069,Roofing Contractors,Accredited,A,7/27/2021,2.0,0,0,0.85
414,"Southern Siding & Gutters, LLC",146 Riverview Park Rd,Jackson,GA,30233-6132,(770) 775-9374,https://www.sidingandgutters.com/,https://www.bbb.org/us/ga/jackson/profile/siding-contractors/southern-siding-gutters-llc-0443-43088,Siding Contractors,Accredited,A+,3/16/2016,22.0,0,0,0.85
